"Participant ID","Survey Identifier","Survey Timestamp","School type","What is your class year?","If other, please describe","Are you a first generation college student? (i.e. first of immediate family members to graduate from college)","Are you a first generation medical student? (i.e. first of immediate family members to graduate from medical school)","Do you receive financial support from parents, grandparents, etc.? (tuition, rent, monthly allowance, groceries, etc).","What is your current household income? This includes any financial support during medical school from spouses, parents, grandparents, caregivers, etc.  ","What is your estimated debt after graduating medical school? Please include all anticipated debt.","Are you receiving a tuition scholarship?","How much you spent on supplies/materials for clinical duties (ex: stethoscope, ophthalmoscope, reflex hammer, pen light, tuning fork, suture kits, tablet)  ","How much you spent on test prep/3rd party resources (ex: UWorld, Amboss, Sketchy, First Aid, Boards and Beyond, Pathoma, Osmosis, anatomy subscriptions, NBME practice tests)","How much you spent on clothing and attire appropriate for the hospital/clinic (business outfits, dress shoes, haircuts)","How much you spent on  textbooks for preclinical and clinical duties (including online copies of textbooks)","How much you spent on required board exams (Step 1, 2)","How much you spent on social/student fees (social activities/outings, school clothes and gear, student fees)","How much you spent on residency fees (travel, hotel, application fees, background check fees).  If this does not apply to you, leave it blank.","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Supplies/materials for clinical duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Test prep/3rd party resources)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Clothing for clinic/hospital duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Textbooks (or online copies))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Required exams (Step 1, 2))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Residency fees)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Social/student fees)","Does your school offer any programs for additional financial support?","Please describe the financial support provided by your medical school","I spent more money out of pocket during medical school than expected","The total cost of attendance listed by my medical school accurately predicted my expenses during medical school","The cost of additional resources has been a financial constraint at some point in my medical career","Financial concerns have impacted my mental health and well-being at some point in my medical career","I felt like I spent ____ I expected for resources directly applicable to my medical education",Age,"How would you describe your gender?","How would you describe your race?","Are you of Hispanic, Latino/a, or Spanish origin?",Complete?
11,,"2022-01-25 13:49:12","Private MD",M2,,No,Yes,"Prefer not to answer",0,276,"Yes, partial",750,1050,550,0,,,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",23,Woman,"American Indian or Alaska Native",No,Complete
12,,"2022-01-25 13:49:18","Private MD",M3,,No,Yes,Yes,60,60,"Yes, partial",500,2500,750,200,500,4000,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unsure,,Agree,Disagree,Agree,Agree,"Significantly more than",26,Woman,White,No,Complete
13,,"2022-01-25 13:49:26","Private MD",M3,,No,Yes,No,,152,"Yes, partial",900,3000,1100,600,2000,1200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",25,Woman,White,No,Complete
14,,"2022-01-25 13:49:42","Private MD",M3,,Yes,Yes,No,0,148,"Yes, full",3000,4350,800,3000,2050,350,6450,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",24,Man,"Black or African American",Yes,Complete
15,,"2022-01-25 13:49:43","Private MD",M3,,No,No,Yes,48,128,"Yes, partial",450,2400,1900,200,2000,500,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,"Strongly agree",Neutral,"Significantly more than",26,Man,White,No,Complete
16,,"2022-01-25 13:50:57","Public MD",M1,,No,Yes,No,40,0,"Yes, full",100,0,100,250,0,1000,0,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Disagree,Agree,Disagree,Disagree,"The same as",29,Man,Asian,No,Complete
17,,"2022-01-25 13:51:48","Private MD",M4,,No,Yes,Yes,20,0,"Yes, partial",400,1000,200,300,2000,450,1050,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",25,Woman,Asian,No,Complete
18,,"2022-01-25 13:52:02","Private MD",M4,,No,Yes,Yes,68,292,"Yes, partial",300,3000,1000,300,2000,3000,3000,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,No,"maybe 1 free practice test ($50 value) for step 1 only","Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",26,Woman,"Prefer not to answer",No,Complete
19,,"2022-01-25 13:52:10","Private MD",M3,,No,Yes,No,124,280,"Yes, partial",2000,2500,800,800,1550,,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unsure,,"Strongly agree",Agree,Agree,Disagree,"Significantly more than",26,Man,White,No,Complete
20,,"2022-01-25 13:52:27","Private MD",M4,,Yes,Yes,Yes,12,248,"Yes, partial",300,100,650,0,1500,2500,300,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Yes,,Agree,Disagree,"Strongly agree",Agree,"Significantly more than",25,Man,White,No,Complete
21,,"2022-01-25 13:53:28","Private MD",M4,,No,Yes,No,28,208,"Yes, full",350,1200,800,500,3000,,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree",Agree,"Significantly more than",26,Man,"Black or African American",Yes,Complete
22,,"2022-01-25 13:54:21","Private MD",M4,,No,No,Yes,20,280,No,1100,1600,450,200,1200,2000,2100,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Disagree,Disagree,Disagree,"Significantly more than",27,Man,Asian,No,Complete
23,,"2022-01-25 13:54:37","Private MD","Graduate student, professional student years",,No,Yes,Yes,120,0,"Yes, MSTP or other PhD funded program",750,2000,3000,1000,2000,3000,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",28,Man,White,No,Complete
24,,"2022-01-25 13:54:38","Private MD",M1,,No,Yes,No,28,0,"Yes, MSTP or other PhD funded program",250,300,350,0,0,200,0,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,No,,Neutral,Neutral,Neutral,Agree,"Significantly more than",23,Woman,Asian,No,Complete
25,,"2022-01-25 13:55:42","Private MD",M3,,No,Yes,No,0,148,"Yes, full",1050,2000,300,500,2500,1000,,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Significantly more than",24,Woman,"Black or African American",No,Complete
26,,"2022-01-25 13:55:54","Private MD",M1,,Unsure,Unsure,Yes,4,400,No,1100,3000,2100,0,2500,600,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",22,Man,Asian,No,Complete
27,,"2022-01-25 13:56:39","Private MD",M2,,No,Yes,Yes,52,256,No,600,2000,550,0,0,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,"Strongly agree","Significantly more than",23,Woman,White,No,Complete
28,,"2022-01-25 13:58:43","Private MD","Research/Year out",,No,Yes,Yes,92,104,"Yes, full",700,1000,500,0,1500,800,,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Yes,,Agree,Agree,Neutral,Disagree,"Significantly more than",26,Woman,White,Yes,Complete
29,,"2022-01-25 13:58:56","Private MD",M1,,No,Yes,No,32,0,"Yes, MSTP or other PhD funded program",300,0,300,0,0,50,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Disagree,Agree,Disagree,Disagree,"The same as",24,Woman,White,No,Complete
30,,"2022-01-25 13:59:10","Private MD",M3,,Yes,Yes,Yes,4,276,"Yes, partial",400,2950,950,0,1300,1050,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,"Strongly agree",,"Strongly agree","Strongly agree","Significantly more than",23,Man,White,No,Complete
31,,"2022-01-25 13:59:25","Private MD",M1,,No,No,No,36,0,"Yes, MSTP or other PhD funded program",300,0,0,0,,750,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Disagree,Agree,Disagree,Disagree,"The same as",22,Man,White,No,Complete
32,,"2022-01-25 13:59:28","Private MD",M2,,No,Yes,No,32,48,"Yes, MSTP or other PhD funded program",1050,850,400,100,950,100,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,"Strongly agree",Agree,"The same as",26,Man,White,Yes,Complete
33,,"2022-01-25 14:00:44","Private MD","Graduate student, professional student years",,Yes,Yes,No,32,72,"Yes, MSTP or other PhD funded program",300,1000,500,0,1200,0,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Neutral,"Strongly agree","Strongly agree","Significantly more than",27,Man,White,No,Complete
34,,"2022-01-25 14:00:55","Private MD",M3,,No,Yes,Yes,28,0,"Yes, partial",200,1600,300,,1900,300,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Neutral,Disagree,"Significantly more than",24,Woman,White,No,Complete
35,,"2022-01-25 14:02:41","Private MD",M4,,No,Yes,Yes,60,124,"Yes, partial",250,1050,550,0,1550,1050,,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",29,Man,White,No,Complete
36,,"2022-01-25 14:03:00","Private MD",M4,,No,Yes,Yes,,,No,250,1500,1000,200,1400,2000,1500,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Agree,Disagree,Disagree,"Significantly more than",27,Man,White,No,Complete
37,,"2022-01-25 14:07:10","Private MD",M4,,No,No,Yes,88,0,No,300,800,550,0,1500,150,2100,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Disagree,Disagree,"Significantly more than",26,Woman,White,No,Complete
38,,"2022-01-25 14:08:04","Private MD",M1,,No,No,No,0,400,No,150,1000,150,100,1000,200,,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Neutral,Neutral,Neutral,Neutral,"The same as",24,Man,White,No,Complete
39,,"2022-01-25 14:08:49","Private MD",M4,,No,No,Yes,24,80,"Yes, full",500,1100,300,200,1250,750,450,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Neutral,Agree,Agree,"Significantly more than",28,Woman,White,No,Complete
40,,"2022-01-25 14:09:54","Private MD",M1,,No,Yes,Yes,220,0,"Yes, partial",350,350,1250,0,0,100,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,"Strongly agree","Significantly more than",22,Woman,Asian,No,Complete
41,,"2022-01-25 14:12:32","Public MD",M3,,No,Yes,Yes,400,60,No,200,2600,1000,250,1300,2750,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Agree,"Strongly agree",Agree,"Significantly more than",26,Man,White,No,Complete
42,,"2022-01-25 14:15:21","Private MD",M4,,No,Yes,Yes,100,0,No,1500,2000,1000,100,1250,1500,2400,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,"Strongly agree",Agree,Agree,Disagree,"Significantly more than",25,Woman,White,No,Complete
43,,"2022-01-25 14:15:46","Private MD",M2,,No,Yes,Yes,12,12,"Yes, full",200,850,200,50,,2750,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unsure,,Agree,Neutral,Disagree,Neutral,"Significantly more than",24,Woman,White,Yes,Complete
44,,"2022-01-25 14:16:50","Public MD",M3,,No,No,No,0,240,"Yes, partial",350,5000,600,600,1000,400,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",28,Woman,White,No,Complete
45,,"2022-01-25 14:17:55","Private MD",M4,,No,No,Yes,24,244,No,150,2750,0,0,1650,700,0,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Disagree,Agree,Disagree,"Strongly disagree","The same as",26,Man,White,No,Complete
46,,"2022-01-25 14:18:14","Private MD",M3,,No,Yes,No,0,120,"Yes, full",1200,3500,400,0,1500,300,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unsure,,Agree,Agree,Agree,Agree,"Significantly more than",25,Man,White,Yes,Complete
47,,"2022-01-25 14:19:47","Private MD",M1,,No,Yes,No,0,320,No,500,1000,800,200,,500,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Unsure,,Agree,Disagree,Agree,"Strongly agree","Significantly more than",24,Woman,White,No,Complete
48,,"2022-01-25 14:33:33","Private MD",M4,,No,Yes,No,0,360,No,500,3000,1000,500,2300,2500,1050,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Yes,,Agree,Disagree,Agree,"Strongly agree","Significantly more than",27,Woman,White,No,Complete
49,,"2022-01-25 14:38:39","Private MD",M4,,No,Yes,Yes,20,0,No,650,2500,250,0,1400,2000,2100,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,Agree,Neutral,Disagree,Disagree,"Significantly more than",27,Woman,White,No,Complete
50,,"2022-01-25 14:42:30","Private MD",M1,,No,Yes,Yes,100,0,No,100,0,250,0,0,2500,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Yes,,Disagree,Disagree,Disagree,Disagree,"The same as",22,Woman,Asian,No,Complete
51,,"2022-01-25 14:44:50","Private MD",M2,,No,Yes,Yes,32,0,"Yes, MSTP or other PhD funded program",300,600,500,0,,200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,"Strongly agree",Neutral,Neutral,Agree,"Significantly more than",23,Woman,Asian,No,Complete
52,,"2022-01-25 14:53:03","Private MD",M1,,No,Yes,No,0,160,"Yes, partial",500,500,500,500,,1000,,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Agree,Neutral,Disagree,"The same as",23,Man,White,No,Complete
53,,"2022-01-25 14:53:28","Private MD",M3,,No,Yes,No,8,252,No,1000,2000,1150,1050,1200,600,,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unsure,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",28,Woman,White,No,Complete
54,,"2022-01-25 14:55:30","Private MD",M2,,No,No,Yes,84,0,No,1000,1200,200,0,,,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,Agree,Neutral,"Strongly disagree","Strongly disagree","The same as",24,Woman,White,No,Complete
55,,"2022-01-25 14:58:30","Private MD",M3,,No,Yes,Yes,148,0,"Yes, partial",50,600,100,0,1200,1000,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Disagree,Agree,,"The same as",25,Man,Asian,No,Complete
56,,"2022-01-25 15:00:27","Private MD",M4,,No,Yes,No,0,156,"Yes, partial",100,2350,300,0,2350,300,1050,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Agree,Neutral,"Significantly more than",26,Man,White,No,Complete
57,,"2022-01-25 15:03:21","Private MD",M2,,No,Yes,Yes,220,304,"Yes, partial",100,950,450,0,0,500,0,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unsure,,"Strongly agree",Agree,"Strongly agree",Agree,"Significantly more than",23,Man,Asian,No,Complete
58,,"2022-01-25 15:07:51","Private MD",M3,,No,No,Yes,,120,"Yes, full",400,1200,400,50,1200,800,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,Agree,Agree,Neutral,Agree,"Significantly more than",26,Woman,"Black or African American",No,Complete
59,,"2022-01-25 15:10:59","Private MD","Graduate student, professional student years",,No,Yes,Yes,40,0,"Yes, MSTP or other PhD funded program",300,1500,500,0,1300,,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,Disagree,Neutral,Disagree,Disagree,"The same as",26,Man,Asian,No,Complete
60,,"2022-01-25 15:11:56","Private MD",M2,,No,No,Yes,12,340,No,500,2100,450,0,1550,100,0,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Checked,Unsure,,Disagree,Disagree,Disagree,Neutral,"Significantly less than",26,Woman,White,Yes,Complete
61,,"2022-01-25 15:15:47","Private MD",M4,,No,Yes,No,0,400,"Yes, partial",1700,4950,4200,150,1900,,3600,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unsure,,Agree,Disagree,Agree,"Strongly agree","The same as",28,Woman,White,No,Complete
62,,"2022-01-25 15:18:14","Private MD",M1,,Yes,Yes,Yes,4,16,"Yes, full",2000,0,450,0,0,2100,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",22,Man,"American Indian or Alaska Native",Yes,Complete
63,,"2022-01-25 15:28:40","Private MD",M1,,No,Yes,Yes,76,172,"Yes, partial",100,0,150,0,0,150,0,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Disagree,Agree,"The same as",24,Man,Asian,No,Complete
64,,"2022-01-25 15:34:23","Private MD",M4,,No,Yes,Yes,68,0,No,200,2000,100,0,1000,400,0,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Disagree,Disagree,"Significantly more than",28,Man,White,No,Complete
65,,"2022-01-25 15:36:32","Private MD",M2,,No,Yes,No,0,140,"Yes, full",500,1250,400,250,,1400,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,"Strongly agree","Significantly more than",23,Woman,White,No,Complete
66,,"2022-01-25 15:36:42","Private MD","Graduate student, professional student years",,No,Yes,No,76,0,"Yes, MSTP or other PhD funded program",200,150,100,0,700,50,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Agree,Agree,Agree,"Significantly more than",27,Woman,White,No,Complete
67,,"2022-01-25 15:40:53","Private MD",M4,,No,Yes,Yes,0,400,"Yes, partial",1000,5000,3000,500,1250,5000,7200,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,No,"I chose none in the previous question.","Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",29,Woman,"Prefer not to answer",No,Complete
68,,"2022-01-25 15:42:55","Private MD",M4,,No,Yes,No,64,300,"Yes, partial",100,1200,500,100,700,250,600,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,No,,Agree,"Strongly agree",Agree,Neutral,"The same as",26,Man,White,No,Complete
69,,"2022-01-25 15:48:35","Private MD",M1,,No,Yes,Yes,100,200,No,100,100,200,0,0,200,0,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Agree,"Strongly agree","Strongly agree","Significantly more than",25,Woman,Asian,No,Complete
70,,"2022-01-25 16:13:08","Private MD",M3,,No,Yes,Yes,4,256,"Yes, partial",200,3000,950,250,2550,400,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",26,Woman,White,No,Complete
71,,"2022-01-25 16:27:20","Private MD",M3,,No,Yes,Yes,24,324,"Yes, partial",450,1050,500,0,2100,350,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Agree,Agree,Agree,"Significantly more than",26,Woman,White,No,Complete
72,,"2022-01-25 16:35:12","Private MD",M2,,No,Yes,Yes,108,252,"Yes, partial",2100,800,800,0,,500,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",25,Man,"Black or African American",No,Complete
73,,"2022-01-25 16:53:54","Private MD",M2,,No,Yes,No,28,0,"Yes, MSTP or other PhD funded program",1200,2050,200,0,0,150,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,Agree,"Significantly more than",26,Woman,White,No,Complete
74,,"2022-01-25 16:57:25","Private MD",M2,,No,Yes,No,60,128,"Yes, full",300,1500,900,750,1400,900,,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Yes,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",27,Man,"Black or African American",No,Complete
75,,"2022-01-25 17:02:19","Private MD",M2,,No,Yes,Yes,36,0,"Yes, MSTP or other PhD funded program",1000,,1550,0,1400,750,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Disagree,Agree,"Significantly more than",22,Man,White,Yes,Complete
76,,"2022-01-25 17:12:09","Private MD","Graduate student, professional student years",,No,Yes,No,32,0,"Yes, MSTP or other PhD funded program",300,2000,1500,100,1800,1500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,"Strongly agree","Strongly agree","Significantly more than",25,Woman,White,No,Complete
77,,"2022-01-25 17:19:01","Private MD",M4,,No,Yes,Yes,68,20,"Yes, partial",350,2500,650,500,1400,450,750,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Checked,Unsure,,"Strongly agree",Agree,Agree,Neutral,"Significantly more than",31,Woman,White,No,Complete
78,,"2022-01-25 17:23:04","Private MD",M1,,No,No,Yes,8,100,"Yes, full",250,100,350,100,,400,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Agree,Disagree,Disagree,"The same as",23,Man,"Black or African American",No,Complete
